"","Player","Games.Played","Minutes","Points.Per.Game","Rebounds.Per.Game","Assists.Per.Game","Steals.Per.Game","Blocks.Per.Game","Turnovers.Per.Game","Field.Goal.Percent","Free.Throw.Percent","Three.Point.FieldGoal.Percent","Year","Team","City","Conference"
"2","Eron Harris",31,22,9.8,2.3,1,0.8,0.1,1.5,0.419,0.772,0.352,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"3","Deniz Kilicli",32,23.4,8.9,4.3,1.1,0.5,0.5,2.1,0.476,0.524,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"4","Aaric Murray",31,20.1,8.8,5.9,1,0.8,1.5,1.4,0.481,0.704,0.333,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"5","Terry Henderson",30,20.1,8,2.4,0.8,0.6,0.2,0.9,0.437,0.771,0.4,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"6","Juwan Staten",31,27.7,7.6,2.9,3.3,1.2,0.1,1.5,0.376,0.769,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"7","Jabarie Hinds",32,22.8,7.4,1.8,1.6,0.8,0.1,1.7,0.351,0.69,0.276,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"8","Gary Browne",32,19.8,5.6,2.8,1.5,0.8,0,1.3,0.325,0.814,0.204,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"9","Matt Humphrey",19,10.7,4.7,2,0.5,1.1,0.2,0.6,0.38,0.5,0.351,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"10","Kevin Noreen",31,18.2,3,4.4,0.8,0.4,0.3,0.8,0.46,0.6,0.304,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"11","Dominique Rutledge",26,11.5,2.8,3,0.4,0.5,0.3,1.3,0.442,0.683,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"12","Keaton Miles",29,11.5,2.6,1.7,0.8,0.6,0.6,0.3,0.418,0.75,0.316,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"13","Volodymyr Gerun",7,4.7,1.3,0.7,0,0,0.3,0,0.231,0.75,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"14","Aaron Brown",17,6.2,1.2,0.9,0.4,0.2,0.1,0.1,0.241,0.5,0.273,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
